KIC,TIC
1725997,137638305
1726035,137638191
1726045,137638223
1726097,137638173
1726154,137638119
1726211,137638100
1726231,137638218
1726245,137638221
1726291,137638089
1726318,137683699
1726425,137683696
1726636,137683670
1726688,137683665
1726747,137683700
1849064,120761966
1849130,120761915
1849159,120761877
1849195,120761930
1849235,120761974
1849238,120761943
1849249,120761960
1849321,120761969
1849326,120761905
1849341,120761976
1849386,120761823
1849398,120761954
1849403,120761852
1849415,120761898
1849430,120761897
1849462,120761914
1849471,120761846
1849474,120761865
1849500,120761931
1849513,120825593
1849547,120825716
1849555,120825571
1849572,120825651
1849581,120825535
1849587,120825613
1849590,120825696
1849610,120825713
1849624,120825645
1849656,120825708
1849664,120825582
1849679,120825669
1849689,120825631
1849698,120825706
1849702,120825566
1849714,120825569
1849734,120825637
1849785,120825634
1849829,120825632
1849846,120825541
1849885,120825644
1850100,120890188
1850194,120890251
1863893,122373590
1863905,122373539
1863909,122373614
1863995,122508160
1864041,122508179
1864065,122508364
1864087,122508277
1864124,122508167
1864178,122508200
1864183,122508176
1864220,122508256
1864258,122508199
1864284,122508165
1864305,122508174
1864365,122508166
1864521,122508367
1864523,122508326
1864603,122515808
1864748,122515939
1864823,122515993
1864855,122515933
1864858,122515898
1864891,122515811
1864894,122516043
1864909,122516024
1864951,122516047
1864959,122515909
1864963,122515953
1864987,122515849
1864998,122516054
1865042,122515955
1865087,122515910
1865102,122515832
1865110,122515820
1865136,122516040
1865152,122515932
1865159,122515835
1865174,122516015
1865188,122515829
1865206,122515839
1865214,122515962
1865231,122515845
1865262,122673168
1865273,122673111
1865305,122673208
1865323,122673136
1865325,122673221
1865448,122673346
1865477,122673351
1865519,122673187
1865527,122673283
1865567,122673176
1865590,122673214
1865595,122673112
1865643,122673344
1865663,122673143
1865674,122673272
1865698,122673267
1865744,122673279
1865747,122673170
1865864,122673202
1865910,122681047
1865925,122681096
1866058,122681138
1866137,122681221
1866174,122681235
1866182,122681008
1866234,122680959
1866235,122681224
1866252,122681050
1866366,122681034
1866535,122783122
1866732,122783201
1866778,122783100
1866842,122783073
1866924,122783105
1866985,122783045
1866986,122783211
1867078,122783132
1867120,137097647
1867210,137097581
1867333,137097711
1867358,137097695
1867462,137097572
1867489,137097772
1867521,137097560
1867553,137097774
1867630,137097577
1867645,137097562
1867684,137097725
1867702,137148055
1867706,137147940
1867740,137148023
1867844,137148017
1867921,137147951
1867991,137148068
1868008,137148030
1868018,137147911
1868075,137148167
1868101,137148081
1868233,137148136
1868259,137148170
1868303,137147964
1868404,137306325
1868457,137306364
1868524,137306532
1868579,137306550
1868650,137306463
1868676,137306401
1868785,137306511
1868918,137306523
1869025,137314840
1869151,137314919
1869183,137314928
1869231,137314870
1869327,137314933
1869352,137314884
1869371,137314771
1869400,137314905
1869469,137314907
1869499,137314997
1869510,137314836
1869607,137314778
1869783,351054289
1869817,351053923
1869922,351054145
1869933,351054181
1870028,351054219
1870057,351053982
1870062,351054013
1870144,351054263
1870162,351054149
1870196,351054086
1870225,351054170
1870234,351053875
1870375,351054135
1870385,351054087
1870398,351053970
1870424,351054193
1870433,351054033
1870445,351054210
1870480,137346873
1870495,137347134
1870683,137346885
1870710,137346852
1870714,137346941
1870743,137346940
1870769,137346974
1870795,137346966
1870799,137346953
1870849,137346870
1870914,137347003
1870952,137347084
1870957,137347076
1871056,137347078
1871091,137347039
1871103,137346879
1871120,137346878
1871148,137346957
1871176,137346851
1871290,137487876
1871314,137487736
1871358,137487829
1871438,137487814
1871465,137487983
1871483,137487738
1871487,137487794
1871517,137487873
1871571,137487823
1871579,137487927
1871588,137487971
1871631,137487723
1871665,137487849
1871759,137487925
1871815,137487937
1871880,137487923
1871888,137546354
1871927,137546441
1871967,137546224
1872012,137546180
1872078,137546212
1872084,137546291
1872154,137546385
1872161,137546334
1872166,137546219
1872189,137546198
1872192,137546223
1872199,137546457
1872210,137546210
1872244,137546440
1872262,137546206
1872289,137546264
1872324,137546211
1872340,137546369
1872347,137546474
1872349,137546184
1872368,137546296
1872375,137546243
1872421,137546271
1872433,137546256
1872469,137546181
1872499,137546364
1872517,137546204
1872530,137546438
1872543,137546358
1872547,137546415
1872561,137546294
1872612,137638041
1872613,137637783
1872666,137637816
1872688,137637988
1872723,137637962
1872749,137637968
1872752,137637947
1872770,137637920
1872781,137637987
1872802,137638043
1872821,137638020
1872842,137637860
1872869,137638067
1872885,137637945
1872909,137637836
1872948,137638072
1872956,137638032
1872974,137637831
1873030,137638003
1873157,137637803
1873187,137637869
1873198,137637878
1873204,137638057
1873268,137683813
1873351,137683959
1873367,137683832
1873370,137683811
1873493,137683713
1873510,137683831
1873513,137683938
1873523,137683778
1873543,137683989
1873552,137683752
1873583,137683771
1873589,137683782
1873656,137683953
1873689,137683955
1873703,137683704
1873753,137683702
1873754,137683812
1873755,137683777
1873779,137683809
1873823,137683740
1873895,137683904
1873898,137683800
1873918,137819013
1873925,137818968
1873986,137818910
1873987,137818802
1874014,137818951
1874101,137818770
1874268,137818900
1874294,137818902
1874333,137818891
1874365,137818852
1874384,137818820
1874623,137818812
1995038,120756142
1995080,120756156
1995089,120756114
1995126,120756182
1995130,120756120
1995140,120756151
1995155,120756209
1995168,120756128
1995192,120756261
1995195,120756288
1995248,120756127
1995305,120762131
1995315,120762097
1995316,120762128
1995323,120761987
1995340,120762140
1995351,120762087
1995358,120762150
1995360,120762077
1995430,120762149
1995431,120762046
1995443,120762005
1995461,120761999
1995489,120762169
1995493,120762054
1995519,120762000
1995522,120762040
1995526,120762146
1995535,120761982
1995622,120762141
1995656,120761993
1995666,120762120
1995668,120762057
1995710,120762018
1995712,120762105
1995732,120762025
1995787,120825466
1995789,120825338
1995796,120825428
1995807,120825499
1995840,120825342
1995845,120825417
1995859,120825368
1995862,120825459
1995908,120825453
1995910,120825462
1996021,120825374
1996047,120825487
1996078,120825360
1996088,120825437
1996121,120825467
1996162,120825482
1996169,120825517
1996180,120825510
1996181,120825362
1996214,120825506
1996240,120825408
1996260,120825468
1996273,120825445
1996399,120890307
1996405,120890376
1996408,120890274
1996415,120890308
1996456,120890340
1996473,120890402
1996492,120890353
1996574,120890271
1996637,120890346
1996668,120890347
1996679,120890432
1996716,120890451
1996719,120890304
1996721,120890382
1996728,120890380
1996760,120890332
1996773,120890400
1996818,120964209
1996859,120964228
1996936,120964215
1997009,120964202
1997127,120964183
2010051,122373801
2010071,122373767
2010137,122373695
2010138,122373732
2010152,122373874
2010161,122373736
2010191,122373865
2010256,122373886
2010345,122508051
2010366,122507942
2010374,122507909
2010379,122508022
2010414,122507920
2010471,122507906
2010509,122507900
2010577,122508005
2010579,122507927
2010593,122508074
2010594,122508045
2010607,122507978
2010658,122507913
2010702,122508013
2010736,122507985
2010738,122508107
2010835,122508091
2010855,122507992
2010931,122516202
2010992,122516157
2011042,122516200
2011048,122516060
2011059,122516234
2011145,122516263
2011160,122516278
2011178,122516274
2011185,122516210
2011214,122516146
2011314,122516253
2011347,122516266
2011352,122516275
2011354,122516132
2011406,122516265
2011411,122516087
2011417,122516071
2011424,122516117
2011428,122516124
2011440,122516187
2011444,122516089
2011504,122516059
2011533,122672867
2011545,122672950
2011556,122673032
2011574,122672960
2011582,122672904
2011618,122672933
2011641,122673083
2011649,122672956
2011675,122673086
2011824,122673006
2011827,122672951
2011870,122672903
2011878,122672878
2011883,122673000
2011887,122673048
2011891,122672929
2011901,122672979
2011905,122673052
2011908,122672924
2011945,122672969
2011991,122672890
2012005,122673057
2012065,122672949
2012083,122672875
2012090,122673091
2012093,122672940
2012186,122681377
2012214,122681507
2012216,122681416
2012265,122681433
2012273,122681372
2012362,122681460
2012377,122681505
2012426,122681514
2012486,122681276
2012563,122681530
2012565,122681425
2012631,122681339
2012640,122681527
2012690,122681342
2012696,122681407
2012722,122681330
2012724,122681434
2012731,122681280
2012816,122782989
2012821,122782911
2012826,122782946
2012841,122782864
2012932,122782754
2012983,122782778
2013000,122782750
2013145,122782960
2013263,122782770
2013284,122782913
2013305,122782862
2013368,122782766
2013385,122782739
2013402,122783009
2013502,137097292
2013503,137097468
2013530,137097310
2013564,137097407
2013577,137097505
2013590,137097326
2013627,137097344
2013651,137097340
2013754,137097422
2013783,137097517
2013833,137097435
2013874,137097296
2013883,137097481
2014003,137097295
2014065,137148323
2014087,137148202
2014203,137148377
2014282,137148187
2014347,137148240
2014377,137148303
2014533,137148225
2014544,137148395
2014616,137148307
2014684,137221927
2014700,137306268
2014737,137306262
2014991,137306310
2015013,137221932
2015025,137306257
2015035,137221823
2015098,137221798
2015124,137221874
2015135,137221922
